JobAcceptedDate,jobAcceptedTime,calledMerchantTime,arrivedAtMerchantTime,mealPickedUpTime,arrivedAtCustLocationTime,foodDeliveredTime,riderInitial.lat,riderInitial.long,Merchant.Lat,Merchant.Lng,Customer.lat,Customer.lng,MerchantName,NationFoodCategory,FoodCategories
2020-10-03,20:39:16,20:40:52,20:48:20,20:49:19,21:14:10,21:15:13,13.8258527,100.551958,13.8257034,100.5593094,13.756065,100.562375,3K SEA ZABB,Thai,อาหารทะเล
2020-10-01,12:54:35,12:55:39,13:10:27,13:24:57,14:01:01,14:01:40,13.8192831,100.561874,13.8310562,100.5707308,13.774685,100.573913,ร้านอาหารอีสานแม่อลิส,Thai,อาหารอีสาน
2020-10-01,12:32:07,12:32:22,12:41:09,12:46:42,13:22:02,13:22:54,13.8270407,100.554284,13.8272046,100.536048,13.743898,100.571659,ไก่ย่างห้าดาว กรุงเทพ-นนท์44,Thai,Fast Food
2020-10-03,13:19:03,13:20:04,13:32:37,13:45:46,14:14:28,14:15:47,13.8204533,100.55791,13.8401798,100.5423255,13.803957,100.513704,กิวกิวเต้ ประชาชื่น,Japanese,ปิ้งย่าง
2020-10-13,11:08:27,11:09:04,11:13:44,11:15:33,11:40:27,11:41:24,13.8257732,100.56717,13.8270341,100.5645341,13.775817,100.575734,ร้านอาหาร วินเทส,Thai,อาหารตามสั่ง
2020-10-05,20:40:34,20:41:49,20:54:39,20:59:33,21:30:43,21:31:44,13.8204711,100.554373,13.8246205,100.5633957,13.815795,100.646337,JIWALAK,Thai,อาหารคลีน
2020-10-14,13:42:32,13:44:11,13:55:03,14:09:08,14:20:30,14:21:25,13.8264728,100.558289,13.8303373,100.5471685,13.845513,100.564798,ร้านโกดัง2020,Thai,อาหารตามสั่ง
2020-10-08,11:23:34,11:24:09,11:31:11,11:38:19,12:23:26,12:23:40,13.8252661,100.562639,13.8221346,100.5793754,13.766828,100.6328304,ร้านแซ่บอีหลี Zab E Lee,Thai,อาหารอีสาน
2020-10-11,12:47:40,12:49:27,12:56:23,12:58:37,13:44:25,13:45:09,13.8237647,100.552806,13.8236557,100.5663012,13.7734995,100.6317709,Lab Ped Nong Khai,Thai,อาหารอีสาน
2020-10-13,09:20:01,09:20:35,09:28:54,09:39:49,10:27:09,10:27:37,13.8253914,100.548713,13.8270341,100.5645341,13.748206,100.58859,ร้านพี่น้อง,Thai,อาหารตามสั่ง
2020-10-13,20:32:30,20:34:10,20:40:27,20:43:00,21:22:33,21:23:14,13.82852,100.566005,13.8246205,100.5633957,13.739573,100.555864,ร้านอาหารอมร,Thai,อาหารตามสั่ง
2020-10-12,19:55:55,19:56:49,20:10:48,20:17:50,21:01:11,21:01:32,13.8288176,100.568089,13.8254703,100.5592021,13.74474176,100.5627387,เตี๋ยวร้านต็อบ,Thai,ร้านก๋วยเตี๋ยว
2020-10-02,10:18:29,10:19:22,10:23:55,10:35:31,11:34:58,11:36:01,13.8210035,100.556709,13.8208651,100.5558353,13.86016015,100.653012,อาหารตามสั่ง ซอยวิภาวดีรังสิต 11,Thai,อาหารตามสั่ง
2020-10-06,11:12:20,11:13:46,11:19:57,11:28:12,11:58:26,11:58:52,13.8246132,100.560873,13.8246205,100.5633957,13.828412,100.500427,กระเพาะปลาแม่มาลี,Thai,อาหารตามสั่ง
2020-10-06,17:44:01,17:44:07,17:55:43,18:01:09,18:40:00,18:41:24,13.8198742,100.547626,13.8369959,100.5404075,13.750827,100.598138,Hia Lek,Thai,อาหารตามสั่ง
